objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
C001001,c001001.jpg,cover,Troop 11,1953,cover of scrapbook,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001001,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/c001001.jpg,/objects/c001001.jpg,/objects/c001001.jpg,alt,
C001002,c001002.jpg,title,Troop 11,1/24/1954,title of scrapbook,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001002,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/c001002.jpg,/objects/c001002.jpg,/objects/c001002.jpg,alt,
C001003,c001003.jpg,Girl Scot Troop Certificate,Troop 11,1/24/1954,a blank girl scout troop certificate,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001003,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/c001003.jpg,/objects/c001003.jpg,/objects/c001003.jpg,alt,
C001004,c001004.jpg,page,Troop 11,5/12/1953,"depicts a hand-drawn illustration of two scouts and the phrase ""May 11, 1953, Senior Scout Troop 11 held their invesititure at the First Pilgram's Congregational Church.""",girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001004,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/cC001004.jpg,/objects/cC001004.jpg,/objects/cC001004.jpg,alt,
C001005,c001005.jpg,page,Troop 11,5/30/1953,"Depicts a newspaper clipping discussing Girl Scout meeting reported by Carolyn Woods, along with two handwritten notes congradulating Troop 11",girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001005,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/c001005.jpg,/objects/c001005.jpg,/objects/c001005.jpg,alt,
C001006,c001006.jpg,page,Troop 11,1/24/1954,"Depicts a newspaper clipping discussing the election of Barbara Nolting as president of scout troop, along with a folded paper napkin",girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001006,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/c001006.jpg,/objects/c001006.jpg,/objects/c001006.jpg,alt,
C001007,c001007.jpg,Fall Creek Falls 53',Troop 11,5/6/1905,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001007,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001007.jpg,/objects/c001007.jpg,/objects/c001007.jpg,alt,
C001008,c001008.jpg,School Activities,Troop 11,1/24/1954,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001008,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001008.jpg,/objects/c001008.jpg,/objects/c001008.jpg,alt,
C001009,c001009.jpg,page,Troop 11,12/3/1954,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001009,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001009.jpg,/objects/c001009.jpg,/objects/c001009.jpg,alt,
C001010,c001010.jpg,page,Troop 11,4/14/1953,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001010,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001010.jpg,/objects/c001010.jpg,/objects/c001010.jpg,alt,
C001011,c001011.jpg,page,Troop 11,1/24/1954,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001011,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001011.jpg,/objects/c001011.jpg,/objects/c001011.jpg,alt,
C001012,c001012.jpg,page,Troop 11,11/4/1953,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001012,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001012.jpg,/objects/c001012.jpg,/objects/c001012.jpg,alt,
